# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
8.812,3534.549,501.994,-34.419,517.652,35.246,827.393,0.289,827.393,0.02,126.354,7.59,32,-105.991,9.78,0.076,1.602e-7,-8.83E-06,5.879e-6,3.42e4,9070.294,34.184,0.203,310.572,220.938,5.692,1.559,8.116e7,0,879.994,0.461,0.461,0.196,0.105,0.16,0.018,0.101,-8.25E-05,0,0,0,0,0,0.065,15.748,194.778,75.227,0.032,6.944,3.059,575.587,333.153,0.05,0.183
8.862,3559.606,500.279,-34.372,515.895,35.077,833.701,0.292,833.701,0.02,125.972,6.998,32,-105.991,9.78,0.032,1.726e-7,0.005,-2.78E-05,3.42e4,9070.294,34.184,0.203,310.943,220.938,5.715,1.554,8.076e7,0,873.307,0.462,0.462,0.197,0.105,0.161,0.007,0.042,1.088e-4,0,0,0,0,5.27e-5,0.065,15.748,194.778,75.173,0.033,6.891,2.813,573.774,333.003,0.05,0.184
8.912,3584.577,498.557,-34.569,514.148,35.001,839.991,0.296,839.991,0.02,125.655,5.481,32,-105.991,9.78,0.089,1.614e-7,-0.004,-1.23E-05,3.42e4,9070.294,34.184,0.203,310.93,220.938,5.714,1.55,8.034e7,0,866.457,0.463,0.463,0.197,0.104,0.161,0.021,0.12,4.841e-5,0,0,0,0,-2.67E-05,0.064,15.748,194.778,75.058,0.033,6.455,2.567,571.967,332.855,0.05,0.184
8.962,3609.461,496.823,-34.34,512.41,34.783,846.268,0.3,846.268,0.02,125.421,5.532,32,-105.991,9.78,0.078,1.316e-7,0.01,2.525e-5,3.42e4,9070.294,34.184,0.203,311.19,220.938,5.731,1.544,7.991e7,0,859.414,0.464,0.464,0.197,0.104,0.162,0.019,0.105,4.928e-4,0,0,0,0,2.134e-4,0.064,15.748,194.778,75.107,0.032,5.588,2.323,570.203,332.707,0.05,0.185
9.012,3634.259,495.127,-33.542,510.682,34.456,852.531,0.304,852.531,0.02,125.083,7.881,32,-105.991,9.779,0.119,1.614e-7,-0.004,6.955e-6,3.42e4,9070.294,34.184,0.203,311.201,220.938,5.732,1.54,7.956e7,0,853.523,0.464,0.464,0.198,0.104,0.162,0.028,0.163,-2.72E-04,0,0,0,0,-3.10E-05,0.064,15.748,194.778,75.291,0.033,6.252,2.079,568.486,332.559,0.05,0.185
9.054,3654.563,493.761,-33.227,509.271,34.302,857.66,0.307,857.66,0.021,124.725,8.521,32,-105.991,9.779,0.174,1.514e-7,0.006,-5.56E-06,3.42e4,9070.294,34.184,0.203,311.132,220.938,5.727,1.537,7.926e7,0,848.655,0.465,0.465,0.198,0.104,0.163,0.042,0.238,-2.34E-04,0,0,0,0,8.218e-5,0.064,15.748,194.778,75.295,0.033,6.657,1.88,567.08,332.438,0.041,0.186
9.084,3669.805,492.735,-33.319,508.212,34.206,861.51,0.309,861.51,0.021,124.467,7.742,32,-105.991,9.779,0.11,2.007e-7,0.015,-1.45E-05,3.42e4,9070.294,34.184,0.203,311.474,220.938,5.749,1.535,7.904e7,0,845.019,0.465,0.465,0.198,0.104,0.163,0.026,0.151,-2.56E-04,0,0,0,0,4.853e-4,0.064,15.748,194.778,75.163,0.034,7.088,1.73,566.025,332.347,0.031,0.186
9.131,3692.607,491.175,-33.966,506.63,34.285,867.272,0.313,867.272,0.021,124.181,4.669,32,-105.991,9.779,0.146,2.234e-7,-0.013,-2.99E-05,3.42e4,9070.294,34.184,0.203,311.511,220.938,5.751,1.53,7.869e7,0,839.225,0.466,0.466,0.198,0.104,0.163,0.035,0.202,2.424e-4,0,0,0,0,-3.32E-04,0.063,15.748,194.778,74.879,0.033,7.016,1.506,564.446,332.212,0.046,0.187
9.167,3710.498,489.928,-34.189,505.389,34.352,871.798,0.316,871.798,0.021,124.051,3.343,32,-105.991,9.779,0.254,1.657e-7,0.001,2.835e-6,3.42e4,9070.294,34.184,0.203,311.249,220.938,5.735,1.527,7.84e7,0,834.591,0.466,0.466,0.199,0.104,0.164,0.062,0.353,4.753e-4,0,0,0,0,2.169e-6,0.063,15.748,194.778,74.788,0.033,6.653,1.331,563.208,332.105,0.036,0.187
9.189,3721.349,489.171,-34.028,504.637,34.218,874.547,0.317,874.547,0.021,123.978,3.604,32,-105.991,9.779,0.231,1.847e-7,0.012,4.556e-6,3.42e4,9070.294,34.184,0.203,311.424,220.938,5.746,1.525,7.823e7,0,831.683,0.467,0.467,0.199,0.104,0.164,0.056,0.321,-4.43E-04,0,0,0,0,2.804e-4,0.063,15.748,194.778,74.843,0.033,6.418,1.224,562.456,332.041,0.022,0.188
9.216,3734.225,488.282,-33.4,503.746,33.856,877.812,0.319,877.812,0.021,123.861,5.537,32,-105.991,9.779,0.066,1.958e-7,0.019,-8.27E-06,3.42e4,9070.294,34.184,0.203,312.138,220.938,5.791,1.522,7.803e7,0,828.33,0.467,0.467,0.199,0.104,0.164,0.016,0.091,3.049e-4,0,0,0,0,7.651e-4,0.063,15.748,194.778,74.998,0.034,6.414,1.097,561.565,331.964,0.026,0.188
9.255,3753.495,486.984,-32.444,502.417,33.572,882.702,0.322,882.702,0.021,123.57,8.628,32,-105.991,9.779,0.2,1.766e-7,-0.012,7.296e-6,3.42e4,9070.294,34.184,0.203,311.764,220.938,5.767,1.519,7.775e7,0,823.79,0.467,0.467,0.199,0.104,0.165,0.049,0.281,2.894e-4,0,0,0,0,-2.83E-04,0.063,15.748,194.778,75.251,0.034,6.688,0.908,560.231,331.849,0.04,0.188
9.282,3766.645,486.114,-32.051,501.511,33.514,886.038,0.324,886.038,0.021,123.312,9.794,32,-105.991,9.779,0.3,1.91e-7,3.767e-4,-2.28E-06,3.42e4,9070.294,34.184,0.203,311.483,220.938,5.75,1.517,7.755e7,0,820.772,0.468,0.468,0.199,0.104,0.165,0.074,0.423,7.717e-5,0,0,0,0,2.973e-7,0.063,15.748,194.778,75.314,0.034,6.886,0.779,559.32,331.771,0.027,0.189
9.302,3776.322,485.477,-32.061,500.845,33.432,888.492,0.326,888.492,0.021,123.118,9.477,32,-105.991,9.779,0.275,1.946e-7,0.011,7.423e-6,3.42e4,9070.294,34.184,0.203,311.64,220.938,5.76,1.515,7.741e7,0,818.422,0.468,0.468,0.199,0.104,0.165,0.067,0.388,-1.13E-04,0,0,0,0,2.658e-4,0.063,15.748,194.778,75.269,0.034,7.023,0.684,558.65,331.713,0.02,0.189
9.324,3787.125,484.76,-32.355,500.102,33.335,891.232,0.328,891.232,0.021,122.921,8.022,32,-105.991,9.779,0.154,1.988e-7,0.02,-1.63E-05,3.42e4,9070.294,34.184,0.203,312.166,220.938,5.793,1.513,7.725e7,0,815.661,0.468,0.468,0.2,0.103,0.165,0.038,0.216,1.076e-4,0,0,0,0,8.379e-4,0.063,15.748,194.778,75.139,0.034,7.092,0.578,557.902,331.649,0.022,0.19
9.358,3803.3,483.668,-32.999,498.989,33.399,895.334,0.33,895.334,0.021,122.703,5.158,32,-105.991,9.779,0.091,1.877e-7,-0.021,-1.05E-05,3.42e4,9070.294,34.184,0.203,312.512,220.938,5.815,1.51,7.7e7,0,811.658,0.469,0.469,0.2,0.103,0.166,0.022,0.13,3.857e-4,0,0,0,0,-9.33E-04,0.062,15.748,194.778,74.87,0.035,7.136,0.419,556.782,331.553,0.033,0.19
9.408,3827.442,481.997,-33.37,497.329,33.518,901.465,0.334,901.465,0.021,122.536,3.141,32,-105.99,9.779,0.261,1.328e-7,9.602e-4,-1.89E-05,3.42e4,9070.294,34.184,0.203,312.062,220.938,5.786,1.506,7.662e7,0,805.627,0.469,0.469,0.2,0.103,0.166,0.065,0.374,2.442e-4,0,0,0,0,1.964e-6,0.062,15.748,194.778,74.655,0.035,6.76,0.182,555.111,331.409,0.05,0.19
9.427,3836.481,481.367,-33.501,496.708,33.587,903.764,0.336,903.764,0.021,122.493,2.4,32,-105.99,9.779,0.322,1.87e-7,0.011,-2.19E-05,3.42e4,9070.294,34.184,0.203,311.915,220.938,5.777,1.504,7.647e7,0,803.218,0.47,0.47,0.2,0.103,0.166,0.08,0.462,4.338e-4,0,0,0,0,2.733e-4,0.062,15.748,194.778,74.695,0.034,6.323,0.093,554.485,331.355,0.019,0.191
9.446,3845.688,480.729,-33.176,496.076,33.337,906.108,0.337,906.108,0.021,122.44,3.274,32,-105.99,9.779,0.245,1.938e-7,0.021,-3.12E-05,3.42e4,9070.294,34.184,0.203,312.276,220.938,5.8,1.502,7.631e7,0,800.573,0.47,0.47,0.2,0.103,0.166,0.061,0.352,4.781e-4,0,0,0,0,9.651e-4,0.062,15.748,194.778,74.81,0.034,5.877,0.003,553.848,331.3,0.019,0.191
9.471,3857.882,479.898,-32.275,495.241,32.877,909.215,0.339,909.215,0.021,122.32,6.26,32,-105.99,9.779,0.015,1.944e-7,-0.026,-5.67E-04,3.42e4,9070.294,34.184,0.203,313.209,220.938,5.859,1.5,7.614e7,0,797.596,0.47,0.47,0.2,0.103,0.167,0.004,0.023,1.171e-4,0,0,0,0,-0.002,0.062,15.748,194.778,75.04,0.034,6.1,-0.117,553.003,331.228,0.025,0.192
9.509,3876.134,478.694,-31.215,493.994,32.734,913.867,0.342,913.867,0.021,121.994,9.856,32,-105.99,9.779,0.328,1.72e-7,-0.011,-3.43E-05,3.42e4,9070.294,34.184,0.203,312.181,220.938,5.794,1.497,7.588e7,0,793.724,0.471,0.471,0.201,0.103,0.167,0.082,0.475,-3.93E-04,0,0,0,0,-2.64E-04,0.062,15.748,194.778,75.331,0.035,6.572,-0.296,551.74,331.119,0.038,0.192
9.526,3884.268,478.167,-30.935,493.439,32.747,915.94,0.343,915.94,0.021,121.814,10.741,32,-105.99,9.779,0.404,1.919e-7,-3.43E-04,-2.32E-05,3.42e4,9070.294,34.184,0.203,311.966,220.938,5.78,1.496,7.576e7,0,791.929,0.471,0.471,0.201,0.103,0.167,0.102,0.588,8.361e-5,0,0,0,0,-2.55E-07,0.062,15.748,194.778,75.369,0.035,6.639,-0.376,551.176,331.071,0.017,0.192
9.542,3891.57,477.694,-30.962,492.941,32.67,917.8,0.345,917.8,0.022,121.651,10.425,32,-105.99,9.779,0.379,1.88e-7,0.011,-1.58E-05,3.42e4,9070.294,34.184,0.203,312.113,220.938,5.79,1.494,7.565e7,0,790.15,0.471,0.471,0.201,0.103,0.167,0.095,0.551,4.467e-4,0,0,0,0,2.413e-4,0.062,15.748,194.778,75.34,0.036,6.698,-0.448,550.671,331.027,0.015,0.193
9.558,3899.387,477.186,-31.208,492.408,32.542,919.79,0.346,919.79,0.022,121.489,9.223,32,-105.99,9.779,0.278,1.821e-7,0.02,-2.16E-05,3.42e4,9070.294,34.184,0.203,312.541,220.938,5.817,1.493,7.553e7,0,788.072,0.471,0.472,0.201,0.103,0.167,0.07,0.405,4.698e-4,0,0,0,0,9.083e-4,0.062,15.748,194.778,75.247,0.036,6.653,-0.525,550.13,330.981,0.016,0.193
9.58,3910.078,476.48,-31.788,491.68,32.481,922.512,0.348,922.512,0.022,121.31,6.676,32,-105.99,9.779,0.06,1.93e-7,0.027,-1.02E-04,3.42e4,9070.294,34.184,0.203,313.44,220.938,5.874,1.491,7.536e7,0,785.174,0.472,0.472,0.201,0.103,0.168,0.015,0.086,9.651e-5,0,0,0,0,0.002,0.062,15.748,194.778,75.047,0.036,6.431,-0.63,549.39,330.917,0.022,0.194
9.614,3926.084,475.395,-32.575,490.589,32.746,926.588,0.35,926.588,0.022,121.153,3.349,32,-105.99,9.779,0.231,9.447e-8,-0.019,1.327e-5,3.42e4,9070.294,34.184,0.203,312.935,220.938,5.842,1.488,7.511e7,0,781.35,0.472,0.472,0.201,0.103,0.168,0.058,0.34,1.269e-4,0,0,0,0,-8.28E-04,0.061,15.748,194.778,74.741,0.036,6.277,-0.787,548.281,330.822,0.034,0.194
9.639,3937.766,474.588,-32.859,489.793,32.923,929.567,0.352,929.567,0.022,121.093,2.053,32,-105.99,9.778,0.344,1.935e-7,-0.007,-2.42E-05,3.42e4,9070.294,34.184,0.203,312.614,220.938,5.821,1.486,7.494e7,0,778.75,0.473,0.473,0.201,0.103,0.168,0.087,0.506,-2.47E-04,0,0,0,0,-1.08E-04,0.061,15.748,194.778,74.618,0.036,6.35,-0.902,547.473,330.752,0.025,0.194
9.656,3946.206,474.003,-32.808,489.218,32.87,931.722,0.354,931.722,0.022,121.058,2.019,32,-105.99,9.778,0.346,1.923e-7,0.004,-2.47E-05,3.42e4,9070.294,34.184,0.203,312.672,220.938,5.825,1.484,7.481e7,0,776.717,0.473,0.473,0.202,0.103,0.168,0.088,0.512,-3.51E-04,0,0,0,0,3.84e-5,0.061,15.748,194.778,74.611,0.035,6.322,-0.985,546.888,330.702,0.018,0.195
9.674,3954.737,473.414,-32.564,488.637,32.671,933.901,0.355,933.902,0.022,121.017,2.646,32,-105.99,9.778,0.291,1.866e-7,0.015,-2.34E-05,3.42e4,9070.294,34.184,0.203,312.945,220.938,5.843,1.483,7.468e7,0,774.483,0.473,0.473,0.202,0.103,0.169,0.074,0.429,-4.25E-04,0,0,0,0,4.697e-4,0.061,15.748,194.778,74.674,0.035,6.144,-1.069,546.298,330.651,0.018,0.195
9.696,3964.925,472.718,-32.05,487.945,32.325,936.507,0.357,936.507,0.022,120.945,4.2,32,-105.99,9.778,0.152,2.004e-7,0.023,-3.88E-05,3.42e4,9070.294,34.184,0.203,313.537,220.938,5.88,1.481,7.452e7,0,771.777,0.473,0.473,0.202,0.103,0.169,0.038,0.225,-3.00E-04,0,0,0,0,0.001,0.061,15.748,194.778,74.826,0.035,5.933,-1.169,545.592,330.591,0.022,0.196
9.728,3980.179,471.702,-30.952,486.911,31.949,940.411,0.359,940.411,0.022,120.746,7.918,32,-105.99,9.778,0.179,1.599e-7,-0.021,-2.37E-05,3.42e4,9070.294,34.184,0.203,313.537,220.938,5.88,1.478,7.431e7,0,768.483,0.474,0.474,0.202,0.103,0.169,0.045,0.268,1.001e-4,0,0,0,0,-0.001,0.061,15.748,194.778,75.108,0.035,6.419,-1.318,544.536,330.5,0.032,0.196
9.76,3995.2,470.73,-30.259,485.894,31.941,944.256,0.362,944.256,0.022,120.442,10.23,32,-105.99,9.778,0.383,1.555e-7,-0.004,1.601e-6,3.42e4,9070.294,34.184,0.203,312.899,220.938,5.84,1.476,7.41e7,0,765.49,0.474,0.474,0.202,0.103,0.169,0.098,0.572,1.439e-4,0,0,0,0,-3.52E-05,0.061,15.748,194.778,75.268,0.036,6.89,-1.466,543.496,330.411,0.032,0.196
9.776,4002.52,470.261,-30.16,485.399,31.91,946.128,0.363,946.128,0.022,120.278,10.421,32,-105.99,9.778,0.401,1.813e-7,0.007,-2.28E-05,3.42e4,9070.294,34.184,0.203,312.887,220.938,5.839,1.475,7.4e7,0,763.854,0.474,0.475,0.202,0.102,0.17,0.103,0.6,-2.87E-04,0,0,0,0,1.157e-4,0.061,15.748,194.778,75.258,0.037,6.99,-1.538,542.989,330.367,0.016,0.197
9.791,4009.877,469.788,-30.294,484.901,31.805,948.009,0.365,948.01,0.022,120.12,9.687,32,-105.99,9.778,0.338,1.782e-7,0.018,-1.87E-05,3.42e4,9070.294,34.184,0.203,313.163,220.938,5.856,1.473,7.389e7,0,762.073,0.474,0.475,0.202,0.102,0.17,0.087,0.507,4.757e-4,0,0,0,0,6.878e-4,0.061,15.748,194.778,75.187,0.037,7.091,-1.61,542.48,330.323,0.016,0.197
9.81,4018.628,469.22,-30.681,484.31,31.693,950.247,0.366,950.247,0.022,119.954,7.945,32,-105.99,9.778,0.187,1.975e-7,0.026,-3.14E-05,3.42e4,9070.294,34.184,0.203,313.778,220.938,5.895,1.472,7.376e7,0,759.825,0.475,0.475,0.202,0.102,0.17,0.048,0.279,-3.39E-04,0,0,0,0,0.002,0.061,15.748,194.778,75.036,0.037,7.088,-1.696,541.874,330.271,0.019,0.197
9.838,4031.733,468.351,-31.458,483.425,31.806,953.597,0.368,953.598,0.022,119.779,4.692,32,-105.99,9.778,0.103,1.336e-7,-0.028,-1.95E-05,3.42e4,9070.294,34.184,0.203,314.186,220.938,5.921,1.469,7.356e7,0,756.587,0.475,0.475,0.203,0.102,0.17,0.026,0.158,4.9e-5,0,0,0,0,-0.002,0.06,15.748,194.778,74.748,0.037,6.924,-1.825,540.967,330.193,0.028,0.198
9.88,4051.345,467.009,-32.182,482.099,32.222,958.618,0.372,958.618,0.022,119.673,1.595,32,-105.99,9.778,0.376,1.403e-7,-0.006,-4.73E-07,3.42e4,9070.294,34.184,0.203,313.358,220.938,5.869,1.466,7.325e7,0,751.993,0.476,0.476,0.203,0.102,0.171,0.097,0.571,1.241e-4,0,0,0,0,-8.01E-05,0.06,15.748,194.778,74.462,0.036,6.439,-2.017,539.609,330.076,0.042,0.198
9.895,4058.266,466.53,-32.337,481.631,32.349,960.392,0.373,960.392,0.022,119.66,0.875,32,-105.99,9.778,0.439,1.83e-7,0.005,7.213e-7,3.42e4,9070.294,34.184,0.203,313.193,220.938,5.858,1.464,7.314e7,0,750.363,0.476,0.476,0.203,0.102,0.171,0.114,0.667,-3.90E-04,0,0,0,0,5.446e-5,0.06,15.748,194.778,74.459,0.036,6.233,-2.085,539.13,330.035,0.015,0.199
9.909,4064.969,466.066,-32.103,481.178,32.138,962.112,0.374,962.112,0.022,119.644,1.515,32,-105.99,9.778,0.382,1.858e-7,0.015,-1.20E-05,3.42e4,9070.294,34.184,0.203,313.448,220.938,5.874,1.463,7.303e7,0,748.646,0.476,0.476,0.203,0.102,0.171,0.099,0.582,-1.67E-04,0,0,0,0,5.466e-4,0.06,15.748,194.778,74.513,0.036,6.156,-2.151,538.666,329.995,0.014,0.199
9.926,4072.693,465.537,-31.623,480.657,31.766,964.096,0.375,964.096,0.022,119.607,3.003,32,-105.99,9.778,0.249,1.836e-7,0.025,-2.26E-05,3.42e4,9070.294,34.184,0.203,313.982,220.938,5.908,1.462,7.292e7,0,746.654,0.476,0.476,0.203,0.102,0.171,0.064,0.378,-3.72E-04,0,0,0,0,0.001,0.06,15.748,194.778,74.635,0.036,6.153,-2.227,538.131,329.949,0.017,0.199
9.95,4084.263,464.762,-30.756,479.878,31.307,967.069,0.377,967.07,0.022,119.497,5.848,32,-105.99,9.778,0.011,2.013e-7,-0.029,-5.95E-04,3.42e4,9070.294,34.184,0.203,314.938,220.938,5.969,1.459,7.275e7,0,743.827,0.477,0.477,0.203,0.102,0.171,0.003,0.018,-2.61E-04,0,0,0,0,-0.002,0.06,15.748,194.778,74.889,0.036,6.151,-2.341,537.33,329.88,0.025,0.2
9.988,4101.581,463.639,-29.659,478.715,31.173,971.523,0.38,971.523,0.022,119.193,9.598,32,-105.99,9.778,0.351,1.66e-7,-0.015,-1.88E-05,3.42e4,9070.294,34.184,0.203,313.815,220.938,5.898,1.457,7.251e7,0,740.323,0.477,0.477,0.204,0.102,0.172,0.091,0.54,-7.09E-05,0,0,0,0,-4.98E-04,0.06,15.748,194.778,75.219,0.037,6.488,-2.511,536.142,329.777,0.037,0.2
10.004,4109.211,463.155,-29.314,478.203,31.23,973.484,0.382,973.484,0.022,119.021,10.772,32,-105.99,9.778,0.455,1.74e-7,-0.003,-1.23E-05,3.42e4,9070.294,34.184,0.203,313.493,220.938,5.877,1.455,7.24e7,0,738.885,0.477,0.478,0.204,0.102,0.172,0.119,0.702,2.395e-4,0,0,0,0,-2.68E-05,0.06,15.748,194.778,75.275,0.037,6.658,-2.586,535.637,329.732,0.016,0.201
10.018,4115.644,462.748,-29.253,477.772,31.199,975.136,0.383,975.137,0.022,118.87,10.845,32,-105.99,9.778,0.463,1.749e-7,0.008,-1.90E-05,3.42e4,9070.294,34.184,0.203,313.507,220.938,5.878,1.454,7.232e7,0,737.563,0.478,0.478,0.204,0.102,0.172,0.121,0.714,1.312e-4,0,0,0,0,1.449e-4,0.06,15.748,194.778,75.264,0.038,6.854,-2.649,535.211,329.694,0.014,0.201
10.032,4122.003,462.346,-29.35,477.346,31.102,976.769,0.384,976.77,0.023,118.724,10.293,32,-105.99,9.778,0.415,1.805e-7,0.019,-1.62E-05,3.42e4,9070.294,34.184,0.203,313.715,220.938,5.891,1.453,7.224e7,0,736.149,0.478,0.478,0.204,0.102,0.172,0.109,0.64,4.415e-4,0,0,0,0,7.955e-4,0.06,15.748,194.778,75.197,0.038,7.048,-2.712,534.79,329.656,0.014,0.202
10.047,4129.107,461.893,-29.617,476.87,30.972,978.593,0.385,978.594,0.023,118.574,9.061,32,-105.99,9.778,0.306,1.921e-7,0.028,-2.38E-05,3.42e4,9070.294,34.184,0.203,314.147,220.938,5.919,1.452,7.214e7,0,734.501,0.478,0.478,0.204,0.102,0.172,0.08,0.471,3.762e-4,0,0,0,0,0.002,0.06,15.748,194.778,75.065,0.038,7.264,-2.781,534.32,329.613,0.015,0.203
10.068,4138.802,461.265,-30.179,476.22,30.91,981.082,0.387,981.082,0.023,118.409,6.683,32,-105.99,9.778,0.091,1.463e-7,0.035,-8.38E-05,3.42e4,9070.294,34.184,0.203,314.986,220.938,5.972,1.451,7.201e7,0,732.276,0.478,0.478,0.204,0.102,0.172,0.024,0.138,-9.32E-06,0,0,0,0,0.003,0.06,15.748,194.778,74.818,0.038,7.513,-2.877,533.678,329.556,0.021,0.204
10.1,4153.319,460.298,-31.061,475.247,31.223,984.81,0.389,984.81,0.023,118.259,3.169,32,-105.99,9.778,0.232,2.314e-7,-0.03,-4.58E-05,3.42e4,9070.294,34.184,0.203,314.562,220.938,5.945,1.449,7.182e7,0,729.338,0.478,0.479,0.204,0.102,0.173,0.061,0.363,-1.33E-04,0,0,0,0,-0.002,0.059,15.748,194.778,74.425,0.037,7.874,-3.019,532.717,329.469,0.032,0.205
10.125,4165.006,459.499,-31.698,474.463,31.706,987.815,0.392,987.815,0.023,118.218,0.694,32,-105.99,9.778,0.455,1.777e-7,-0.015,-1.75E-05,3.42e4,9070.294,34.184,0.203,313.856,220.938,5.9,1.446,7.164e7,0,726.925,0.479,0.479,0.204,0.102,0.173,0.12,0.711,-5.81E-05,0,0,0,0,-4.94E-04,0.059,15.748,194.778,74.212,0.037,7.668,-3.134,531.944,329.4,0.025,0.206
10.139,4171.297,459.063,-31.828,474.04,31.829,989.434,0.393,989.434,0.023,118.214,0.105,32,-105.99,9.778,0.508,1.806e-7,-0.003,-2.08E-05,3.42e4,9070.294,34.184,0.203,313.719,220.938,5.892,1.445,7.155e7,0,725.553,0.479,0.479,0.204,0.102,0.173,0.135,0.794,-2.99E-04,0,0,0,0,-1.72E-05,0.059,15.748,194.778,74.17,0.036,7.555,-3.196,531.527,329.362,0.014,0.206
10.151,4177.073,458.663,-31.728,473.652,31.73,990.922,0.394,990.922,0.023,118.212,0.306,32,-105.989,9.778,0.49,1.763e-7,0.008,-2.29E-05,3.42e4,9070.294,34.184,0.203,313.825,220.938,5.898,1.444,7.146e7,0,724.181,0.479,0.48,0.204,0.102,0.173,0.13,0.767,1.835e-4,0,0,0,0,1.631e-4,0.059,15.748,194.778,74.183,0.036,7.495,-3.252,531.145,329.328,0.013,0.206
10.165,4183.072,458.25,-31.339,473.249,31.376,992.469,0.395,992.469,0.023,118.201,1.514,32,-105.989,9.778,0.382,1.824e-7,0.018,-2.53E-05,3.42e4,9070.294,34.184,0.203,314.238,220.938,5.925,1.443,7.139e7,0,722.809,0.479,0.48,0.205,0.102,0.173,0.101,0.597,-4.87E-04,0,0,0,0,7.836e-4,0.059,15.748,194.778,74.247,0.036,7.778,-3.311,530.748,329.292,0.013,0.207
10.181,4190.8,457.727,-30.684,472.732,30.898,994.463,0.396,994.463,0.023,118.158,3.629,32,-105.989,9.778,0.189,1.635e-7,0.027,-5.56E-05,3.42e4,9070.294,34.184,0.203,314.969,220.938,5.971,1.442,7.129e7,0,721.068,0.48,0.48,0.205,0.102,0.173,0.05,0.295,-8.77E-05,0,0,0,0,0.002,0.059,15.748,194.778,74.387,0.036,8.143,-3.387,530.236,329.246,0.017,0.207
10.207,4202.374,456.964,-29.728,471.959,30.497,997.452,0.398,997.452,0.023,118.021,6.807,32,-105.989,9.778,0.107,1.405e-7,-0.027,-7.26E-05,3.42e4,9070.294,34.184,0.203,315.336,220.938,5.994,1.44,7.114e7,0,718.637,0.48,0.48,0.205,0.102,0.174,0.028,0.169,4.046e-4,0,0,0,0,-0.002,0.059,15.748,194.778,74.645,0.036,8.464,-3.501,529.47,329.177,0.025,0.208
10.245,4219.701,455.853,-29.019,470.804,30.387,1001.926,0.401,1001.926,0.023,117.705,9.014,32,-105.989,9.778,0.316,1.454e-7,-0.011,-3.54E-05,3.42e4,9070.294,34.184,0.203,314.715,220.938,5.955,1.437,7.087e7,0,714.698,0.48,0.481,0.205,0.101,0.174,0.084,0.499,-3.41E-04,0,0,0,0,-2.99E-04,0.059,15.748,194.778,74.928,0.038,8.007,-3.671,528.323,329.074,0.038,0.208
10.263,4228.211,455.314,-28.814,470.238,30.366,1004.123,0.403,1004.123,0.023,117.527,9.586,32,-105.989,9.778,0.37,1.714e-7,8.955e-5,-2.06E-05,3.42e4,9070.294,34.184,0.203,314.582,220.938,5.946,1.435,7.075e7,0,712.853,0.481,0.481,0.205,0.101,0.174,0.098,0.585,-3.11E-04,0,0,0,0,1.907e-8,0.059,15.748,194.778,74.965,0.039,7.942,-3.755,527.76,329.023,0.019,0.208
10.281,4236.128,454.812,-28.874,469.711,30.288,1006.166,0.404,1006.166,0.023,117.363,9.146,32,-105.989,9.778,0.332,1.682e-7,0.011,-2.68E-05,3.42e4,9070.294,34.184,0.203,314.77,220.938,5.958,1.434,7.064e7,0,711.043,0.481,0.481,0.205,0.101,0.174,0.088,0.525,3.639e-4,0,0,0,0,2.795e-4,0.059,15.748,194.778,74.929,0.039,7.939,-3.833,527.236,328.976,0.017,0.209
10.3,4244.977,454.248,-29.14,469.123,30.193,1008.45,0.406,1008.45,0.023,117.196,7.906,32,-105.989,9.778,0.22,1.627e-7,0.02,-3.02E-05,3.42e4,9070.294,34.184,0.203,315.229,220.938,5.988,1.432,7.051e7,0,708.955,0.481,0.481,0.205,0.101,0.175,0.058,0.347,-7.15E-05,0,0,0,0,9.66e-4,0.059,15.748,194.778,74.817,0.039,7.939,-3.919,526.65,328.924,0.019,0.209
10.329,4258.23,453.39,-29.656,468.242,30.196,1011.869,0.408,1011.869,0.023,116.998,5.686,32,-105.989,9.778,0.013,1.4e-7,0.025,-3.25E-04,3.42e4,9070.294,34.184,0.203,316.058,220.938,6.04,1.43,7.034e7,0,706.128,0.481,0.481,0.205,0.101,0.175,0.003,0.018,5.583e-6,0,0,0,0,0.002,0.059,15.748,194.778,74.564,0.039,8.254,-4.05,525.773,328.845,0.029,0.209
